length,tmin_smart,tn_smart,tmax_smart,tmin_naive,tn_naive,tmax_naive
1000,0.000018,0.000024,0.000050,0.000172,0.000212,0.000354
1064,0.000018,0.000022,0.000060,0.000186,0.000200,0.000308
1133,0.000020,0.000023,0.000050,0.000197,0.000210,0.000277
1207,0.000021,0.000024,0.000047,0.000215,0.000228,0.000311
1285,0.000023,0.000027,0.000055,0.000230,0.000248,0.000313
1368,0.000023,0.000028,0.000076,0.000245,0.000295,0.000623
1457,0.000026,0.000040,0.000109,0.000268,0.000373,0.000661
1551,0.000027,0.000031,0.000070,0.000286,0.000346,0.000570
1652,0.000029,0.000035,0.000091,0.000472,0.000570,0.000615
1759,0.000031,0.000035,0.000074,0.000332,0.000354,0.000597
1873,0.000033,0.000041,0.000093,0.000352,0.000374,0.000619
1994,0.000035,0.000040,0.000098,0.000382,0.000409,0.000524
2123,0.000037,0.000042,0.000085,0.000409,0.000441,0.000887
2261,0.000040,0.000048,0.000089,0.000435,0.000485,0.000781
2408,0.000042,0.000047,0.000078,0.000495,0.000524,0.000778
2564,0.000046,0.000072,0.000158,0.000531,0.000662,0.001147
2730,0.000047,0.000064,0.000103,0.000571,0.000687,0.001164
2907,0.000051,0.000062,0.000111,0.000630,0.000744,0.001180
3095,0.000055,0.000062,0.000106,0.000699,0.000755,0.001101
3295,0.000058,0.000065,0.000110,0.000765,0.000795,0.000890
3509,0.000062,0.000069,0.000158,0.000843,0.000886,0.000947
3736,0.000066,0.000072,0.000121,0.000885,0.000930,0.001068
3978,0.000070,0.000077,0.000124,0.000954,0.000999,0.001355
4236,0.000074,0.000082,0.000136,0.001043,0.001094,0.001302
4511,0.000079,0.000088,0.000137,0.001198,0.001238,0.001518
4803,0.000085,0.000094,0.000151,0.001243,0.001311,0.001539
5114,0.000089,0.000102,0.000184,0.001391,0.001419,0.001519
5446,0.000096,0.000105,0.000156,0.001493,0.001531,0.001600
5798,0.000102,0.000112,0.000176,0.001621,0.001694,0.001741
6174,0.000109,0.000118,0.000161,0.001846,0.002079,0.003214
6574,0.000115,0.000126,0.000176,0.002006,0.002054,0.002135
7000,0.000123,0.000134,0.000197,0.002240,0.002299,0.002373
7454,0.000131,0.000143,0.000180,0.002566,0.002621,0.002701
7937,0.000139,0.000152,0.000191,0.002583,0.002657,0.003302
8451,0.000149,0.000162,0.000221,0.002823,0.002884,0.003010
8998,0.000159,0.000172,0.000210,0.003151,0.003236,0.003308
9581,0.000169,0.000184,0.000292,0.003479,0.003578,0.003651
10202,0.000180,0.000195,0.000239,0.004051,0.004167,0.004206
10863,0.000191,0.000207,0.000250,0.004235,0.004362,0.004434
11567,0.000204,0.000220,0.000267,0.005241,0.005348,0.005449
12316,0.000218,0.000235,0.000278,0.005623,0.005752,0.005835
13114,0.000231,0.000251,0.000371,0.006380,0.006538,0.006637
13964,0.000245,0.000274,0.000421,0.006775,0.006906,0.007025
14868,0.000260,0.000283,0.000356,0.008160,0.008373,0.008443
15832,0.000278,0.000305,0.000700,0.009267,0.009629,0.010211
16857,0.000297,0.000320,0.000405,0.010417,0.010556,0.010739
17950,0.000317,0.000342,0.000424,0.011971,0.012093,0.012308
19113,0.000334,0.000364,0.000437,0.012545,0.013112,0.013892
20351,0.000358,0.000390,0.000584,0.015584,0.015621,0.015672
21669,0.000379,0.000411,0.000488,0.016450,0.016594,0.016760
23073,0.000406,0.000439,0.000526,0.019111,0.019224,0.019476
24568,0.000434,0.000480,0.000693,0.022885,0.022944,0.022990
26160,0.000459,0.000504,0.000715,0.024867,0.024913,0.024965
27854,0.000491,0.000530,0.000599,0.032962,0.032981,0.033011
29659,0.000524,0.000573,0.000795,0.034190,0.034357,0.034459
31581,0.000554,0.000598,0.000674,0.038939,0.039073,0.039207
33627,0.000592,0.000641,0.000731,0.044300,0.044355,0.044409
35805,0.000627,0.000680,0.000745,0.050072,0.050106,0.050139
38125,0.000673,0.000723,0.000812,0.053039,0.053407,0.053774
40595,0.000717,0.000771,0.000830,0.064031,0.064938,0.065846
43225,0.000760,0.000818,0.000889,0.073647,0.073647,0.073647
46025,0.000809,0.000875,0.001247,0.079073,0.079074,0.079073
49007,0.000864,0.000930,0.001021,0.088834,0.088835,0.088834
52182,0.000921,0.001006,0.001455,0.108423,0.108424,0.108423
55563,0.000984,0.001059,0.001177,0.116145,0.116146,0.116145
59163,0.001045,0.001133,0.001240,0.139519,0.139519,0.139519
62996,0.001116,0.001191,0.001272,0.157968,0.157969,0.157968
67077,0.001186,0.001280,0.001372,0.167313,0.167314,0.167313
71422,0.001263,0.001354,0.001440,0.202234,0.202234,0.202234
76050,0.001347,0.001445,0.001548,0.230509,0.230510,0.230509
80977,0.001431,0.001543,0.001839,0.261761,0.261761,0.261761
86223,0.001521,0.001636,0.001775,0.278490,0.278490,0.278490
91809,0.001614,0.001750,0.001866,0.317131,0.317132,0.317131
97757,0.001723,0.001848,0.001953,0.391073,0.391074,0.391073
104090,0.001832,0.001955,0.002077,0.428898,0.428899,0.428898
110834,0.001948,0.002087,0.002251,0.485355,0.485356,0.485355
118014,0.002085,0.002222,0.002383,0.564182,0.564182,0.564182
125660,0.002214,0.002474,0.002927,0.628239,0.628240,0.628239
133801,0.002353,0.002513,0.002696,0.703164,0.703164,0.703164
142470,0.002572,0.002708,0.002901,0.855868,0.855869,0.855868
151700,0.002736,0.002887,0.002986,0.942069,0.942070,0.942069
161528,0.002901,0.003087,0.003280,1.087641,1.087642,1.087641
171992,0.003083,0.003360,0.004441,1.286603,1.286604,1.286603
183135,0.003295,0.003508,0.003750,1.438335,1.438336,1.438335
195000,0.003500,0.003747,0.003917,1.638020,1.638021,1.638020
207633,0.003697,0.003965,0.004457,1.872022,1.872023,1.872022
221085,0.003928,0.004229,0.004942,2.137567,2.137568,2.137567
