length,tmin_smart,tn_smart,tmax_smart,tmin_naive,tn_naive,tmax_naive
1000,0.000011,0.000021,0.000047,0.000170,0.000227,0.000405
1064,0.000011,0.000020,0.000056,0.000186,0.000208,0.000359
1133,0.000012,0.000021,0.000040,0.000202,0.000216,0.000290
1207,0.000013,0.000021,0.000044,0.000216,0.000234,0.000318
1285,0.000014,0.000022,0.000052,0.000231,0.000242,0.000350
1368,0.000015,0.000023,0.000053,0.000249,0.000265,0.000410
1457,0.000017,0.000025,0.000053,0.000267,0.000285,0.000404
1551,0.000017,0.000026,0.000064,0.000294,0.000313,0.000395
1652,0.000018,0.000027,0.000051,0.000303,0.000315,0.000364
1759,0.000019,0.000029,0.000060,0.000324,0.000351,0.000428
1873,0.000020,0.000031,0.000065,0.000349,0.000370,0.000435
1994,0.000021,0.000033,0.000078,0.000380,0.000409,0.000462
2123,0.000023,0.000035,0.000069,0.000418,0.000443,0.000491
2261,0.000024,0.000037,0.000073,0.000442,0.000457,0.000513
2408,0.000027,0.000040,0.000082,0.000481,0.000503,0.000553
2564,0.000028,0.000042,0.000074,0.000532,0.000562,0.001014
2730,0.000030,0.000045,0.000085,0.000591,0.000611,0.000663
2907,0.000032,0.000048,0.000093,0.000631,0.000670,0.000737
3095,0.000036,0.000050,0.000087,0.000690,0.000723,0.000785
3295,0.000036,0.000055,0.000138,0.000758,0.000784,0.000872
3509,0.000039,0.000058,0.000100,0.000806,0.000843,0.001178
3736,0.000043,0.000065,0.000111,0.000876,0.000944,0.001310
3978,0.000047,0.000074,0.000173,0.000948,0.001059,0.001475
4236,0.000049,0.000076,0.000151,0.001081,0.001304,0.001881
4511,0.000053,0.000080,0.000136,0.001145,0.001194,0.001367
4803,0.000052,0.000085,0.000137,0.001247,0.001620,0.002321
5114,0.000060,0.000085,0.000138,0.001389,0.001455,0.001517
5446,0.000064,0.000090,0.000149,0.001526,0.001953,0.002932
5798,0.000068,0.000112,0.000259,0.001616,0.001790,0.002485
6174,0.000071,0.000117,0.000265,0.001835,0.002076,0.003182
6574,0.000075,0.000116,0.000217,0.002048,0.002462,0.003374
7000,0.000081,0.000121,0.000194,0.002230,0.002340,0.002465
7454,0.000086,0.000124,0.000195,0.002443,0.002549,0.002700
7937,0.000095,0.000131,0.000206,0.002546,0.002659,0.002851
8451,0.000097,0.000139,0.000250,0.002805,0.002909,0.003062
8998,0.000108,0.000150,0.000234,0.003146,0.003280,0.003376
9581,0.000111,0.000157,0.000267,0.003523,0.005268,0.006420
10202,0.000120,0.000203,0.000386,0.005186,0.008068,0.009263
10863,0.000131,0.000216,0.000400,0.005207,0.005684,0.006430
11567,0.000137,0.000220,0.000477,0.004966,0.006506,0.008293
12316,0.000146,0.000241,0.000488,0.005649,0.006171,0.007003
13114,0.000155,0.000218,0.000331,0.006314,0.006451,0.006636
13964,0.000164,0.000227,0.000327,0.006598,0.006772,0.006934
14868,0.000174,0.000244,0.000377,0.008397,0.008537,0.008640
15832,0.000190,0.000293,0.000664,0.010928,0.012103,0.015149
16857,0.000205,0.000319,0.000720,0.011002,0.012062,0.013030
17950,0.000213,0.000340,0.000770,0.013537,0.014487,0.015437
19113,0.000220,0.000354,0.000749,0.015584,0.016019,0.016614
20351,0.000243,0.000366,0.000569,0.015271,0.015389,0.015492
21669,0.000258,0.000368,0.000482,0.016637,0.016803,0.017161
23073,0.000272,0.000386,0.000495,0.021354,0.021405,0.021478
24568,0.000297,0.000412,0.000517,0.022676,0.022928,0.023283
26160,0.000305,0.000455,0.000715,0.025319,0.025482,0.025643
27854,0.000329,0.000481,0.000701,0.028673,0.029344,0.030013
29659,0.000354,0.000484,0.000644,0.033820,0.033823,0.033826
31581,0.000373,0.000531,0.000670,0.038796,0.038813,0.038829
33627,0.000400,0.000546,0.000652,0.043878,0.044286,0.044693
35805,0.000427,0.000596,0.000740,0.050159,0.050889,0.051616
38125,0.000456,0.000636,0.000769,0.053426,0.053465,0.053502
40595,0.000484,0.000656,0.000811,0.066174,0.066174,0.066174
